"Actions","Acções"
"Active","Activo"
"Add New Rule","Adicionar Nova Regra"
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra apenas se as seguintes condições se verificarem (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra apenas a itens do carrinho de compras que cumpram as seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra a itens do carrinho de compras que cumpram as seguintes condições"
"Apply to","Aplicar a"
"Buy X get Y free (discount amount is Y)","Compre X e leve Y grátis (quantidade de desconto é Y)"
"By Fixed Amount","Por montante fixo"
"By Fixed value","Por valor fixo"
"By Percentage","Por percentagem"
"By Percentage of the original price","Por percentagem do preço original"
"Cart Attribute","Atributo de Carrinho"
"Catalog","Catálogo"
"Conditions","Condições"
"Conditions combination","Condições de Combinação"
"Coupon Code","Código Cupão"
"Coupon code","Código Cupão"
"Customer Groups","Grupos de Clientes"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registado em: %s"
"Date Expire","Data Validade"
"Date Start","Data início"
"Delete Rule","Remover Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Discount Qty Step (Buy X)","Qt desconto (Compre X)"
"Discount amount","Valor Desconto"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Expira em: %s"
"Fixed amount discount","Montante de desconto fixo"
"Fixed amount discount for whole cart","Desconto fixo para todo o carrinhp"
"For matching items only","Apenas para itens coincidentes"
"For shipment with matching items","Para envios com itens coincidentes"
"Free shipping","Envio gratuito"
"From Date","Data início"
"General Information","Informação geral"
"ID","ID"
"Inactive","Inactivo"
"Maximum Qty Discount is Applied to","Quantidade máxima de desconto é aplicado a"
"NOT LOGGED IN","Não está ligado"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Percentagem de desconto sobre o preço do produto"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Sub selecção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público no Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Linha total no carrinho"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule was successfully deleted","Regra correctamente removida"
"Rule was successfully saved","A Regra foi correctamente guardada"
"Save Rule","Guardar Regra"
"Shipping Country","País de Envio"
"Shipping Method","Método de Envio"
"Shipping Postcode","Código Postal Envio"
"Shipping Region","Região Envio"
"Shipping State/Province","Estado/Província Envio"
"Shopping Cart Price Rule","Regra de preço no carrinho de compras"
"Shopping Cart Price Rules","Regras de Preços no Carrinho de Compras"
"Special price","Preço especial"
"Start at: %s","Iniciar em: %s"
"Status","Estado"
"Stop further rules processing","Parar processamento de regras"
"Subtotal","Sub-total"
"The page you are trying to save no longer exists","A página que está a tentar salvar não existe"
"This rule no longer exists","Esta regra já não existe"
"To Date","Data término"
"To Fixed Amount","Para montante fixo"
"To Fixed Value","Para valor fixo"
"To Percentage","Para percentagem"
"To Percentage of the original price","Para percentagem do preço original"
"Total Items Quantity","Quantidade do total de Itens"
"Total Weight","Peso Total"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
"Update prices using the following information","Actualizar os preços utilizando a seguinte informação"
"Update product's %s %s: %s","Actualizar produtos %s %s: %s"
"Update the Product","Actualizar o produto"
"Uses per coupon","Utilizações por cupão"
"Uses per customer","Utilizações por cliente"
"Yes","Sim"
