"# of Uses","# Usados"
"%s tag(s) have been accepted for moderation","%s etiqueta(s) aceites para moderação"
"Action","Acção"
"Actions","Acções"
"Add New Tag","Adicionar Nova Etiqueta"
"Add Tags","Adicionar etiquetas"
"Add Your Tags:","Adicionar as suas etiquetas:"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar à Lista de Presentes"
"All Tags","Todas as etiquetas"
"Approved","Aprovado"
"Are you sure that you want to delete this tag?","Tem a certeza que deseja remover esta etiqueta?"
"Are you sure you want to delete this tag?","Tem a certeza que deseja remover este etiqueta?"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure?","Tem a certeza?"
"Back","Voltar"
"Back to Tags List","Voltar à listagem de etiquetas"
"Back to view Tag","Voltar à visualização da Etiqueta"
"Block Information","Informação do bloco"
"CSV","CSV"
"Change status","Alterar Estado"
"Click on a tag to view your corresponding products.","Clica na etiqueta para visualizar os produtos associados"
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Tagged '%s'","Clientes com a Etiqueta '%s'"
"Delete","Remover"
"Delete Tag","Remover Etiqueta"
"Disabled","Inactivo"
"Edit Tag","Editar Etiqueta"
"Edit Tag '%s'","Editar Etiqueta '%s'"
"Email","Email"
"First Name","Primeiro Nome"
"General Information","Informação geral"
"Grid","Grelha"
"ID","ID"
"Last Name","Apelido"
"List","Lista"
"My Recent Tags","As minha etiquetas recentes"
"My Tags","As minhas Etiquetas"
"Name","Nome"
"New Tag","Nova etiqueta"
"No matches found.","Não foram encontrados resultados"
"Other people marked this product with these tags:","Outros marcaram este produto com as seguintes etiquetas:"
"Pending","Pendente"
"Pending Tags","Etiquetas Pendentes"
"Popular","Popular"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome do Produto"
"Product SKU","SKU do produto"
"Product Tags","Etiquetas de Produtos"
"Products","Produtos"
"Products Tagged with '%s'","Produtos etiquetados com '%s'"
"Products tagged with '%s'","Produtos etiquetados com '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produtos etiquetados com '%s' (<a hre='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Guardar Etiqueta"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Resultados da pesquisa  para '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Termos de pesquisa "
"Status","Estado"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product","A Etiqueta ""%s"" já tinha sido adicionada ao produto"
"Tag Information","Informação de Etiqueta"
"Tag Name","Nome da etiqueta"
"Tag Name: %s","Nome da Etiqueta: %s"
"Tag can't be empty.","A etiqueta não pode ficar vazia"
"Tagged in","Etiquetado em"
"Tags","Etiquetas"
"Tags Aren't Available","As etiquetas não estão disponíveis"
"Tags:","Etiquetas:"
"Telephone","Telefone"
"Thank you. Your tag has been accepted for moderation.","Obrigado. A sua etiqueta foi aceite para moderação"
"Unable to find any products tagged with '%s' in the current store","Não foi possível encontrar nenhum produto com a etiqueta '%s' na loja actual"
"Unable to remove tag. Please, try again later.","Não foi possível remover a etiqueta. Por favor tente novamente mais tarde."
"Unable to save tag(s)","Incapaz de guardar as etiqueta(s)"
"Unable to save your tag. Please, try again later.","Incapaz de guardar a sua etiqueta. Por favor tente novamente mais tarde."
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilize um espaço para separar as etiquetas. Utilize aspas simples (') para frases."
"Uses","Usos"
"View All","Ver todo"
"View All Tags","Ver todas as etiquetas"
"View Customers","Ver clientes"
"View Products","Ver produtos"
"Visible In","Visível em"
"XML","XML"
"You have not tagged any products yet.","Ainda não etiquetou nenhum produto"
"Your tag was successfully deleted","A sua etiqueta foi removida com sucesso"
"Your tag was successfully saved","A sua etiqueta foi guardada com sucesso"
"ZIP/Post Code","Código Postal"
"You have not tagged any products yet.","You have not tagged any products yet."
