"Actions","Acções"
"Add Answer","Adicionar Resposta"
"Add New Answer","Adicionar nova resposta"
"Add New Poll","Adicionar nova sondagem"
"Answer Title","Título da Resposta"
"Answer Title:","Título da Resposta"
"Answer was successfully saved","A resposta foi correctamente salva"
"Answer with the same title in this poll","Resposta com o mesmo título da sondagem"
"Are you sure you want to delete it?","Tem a certeza que o deseja remover?"
"Assigned Answers","Respostas Atribuídas"
"Closed","Fechado"
"Community Poll","Sondagem da Comunidade"
"Date Closed","Data término"
"Date Posted","Data adicionado"
"Delete","Remover"
"Delete Answer","Remover Resposta"
"Delete Poll","Remover Sondagem"
"Disallow voting in a poll multiple times from same IP-address","Não permitir que votem na mesma sondagem várias vezes através do mesmo IP"
"Edit Answer '%s'","Editar Resposta '%s'"
"Edit Poll '%s'","Editar Sondagem '%s'"
"Edit Poll Answer","Editar Resposta à Sondagem"
"ID","ID"
"Invalid Answer","Resposta Inválida"
"New Poll","Nova sondagem"
"Number of Responses","Número de respostas"
"Open","Activa"
"Poll Answers","Resposta à sondagem"
"Poll Information","Informação da sondagem"
"Poll Manager","Gestão de Sondagens"
"Poll Question","Questão da sondagem"
"Poll information","Informação da sondagem"
"Poll not exists","A Sondagem não existe"
"Poll with the same question","Sondagem com a mesma pergunta"
"Save Answer","Guardar resposta"
"Save Poll","Guardar Sondagem"
"Status","Estado"
"Unable to find answer to delete.","Incapaz de encontrar a resposta a remover."
"Visible In","Visível em"
"Vote","Votar"
"Votes Count","Total Votos"
"Votes Count:","Total votos:"
