"* Required Fields","* Campos obrigatórios"
"Add","Adicionar"
"Add Gift Message","Adicionar Mensagem ao Presente"
"Allow Gift Messages for Order Items","Permitir Mensagens de Presentes para Itens de Encomendas"
"Allow Gift Messages on Order Level","Permitir Mensagens de Presentes ao nível de Encomenda"
"Are you sure?","Tem a certeza?"
"Cancel","Cancelar"
"Check this checkbox if you want to add gift messages to your items.","Assinale esta caixa se deseja adicionar mensagens aos seus presentes"
"Check this checkbox if you want to add gift messages.","Assinale esta caixa se deseja adicionar uma mensagem ao presente"
"Close","Fechar"
"Do you have any gift items in your order?","Tem algum presente na sua encomenda?"
"Edit","Editar"
"Edit Gift Message","Editar Mensagem do Presente"
"Enter a gift message for each item in your order.","Insira uma mensagem de presenta para cada item na sua encomenda."
"Enter a gift message for entire order.","Insira uma mensagem de presente para toda a encomenda."
"Enter a gift message for this address.","Insira uma mensagem de presente para este endereço."
"Error while saving gift message","Erro ao guardar a mensagem do presente"
"From","De"
"Gift Message","Mensagem do presente:"
"Gift Messages","Mensagens de Presente"
"Gift message has been successfully saved","A mensagem do presente foi guardada com sucesso"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"Remove","Remover"
"Save","Guardar"
"Save Gift Message","Guardar Mensagem do Presente"
"To","Até"
"Unknown entity type","Tipo de entidade desconhecida"
"Use config","Utilizar Configuração"
"Yes","Sim"
"You can leave a box blank if you don't wish to add a gift message for the item.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente ao item"
"You can leave a box blank if you don't wish to add a gift message for this address.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente ao endereço"
"You can leave a box blank if you don't wish to add a gift message for whole order.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente à encomenda"
"Your gift message has been successfully removed","A sua mensagem de presente foi correctamente removida"
"Your gift message has been successfully saved","A sua mensagem de presente foi correctamente guardada"
"Your gift message successfully removed","A sua mensagem de presente foi correctamente removida"
"Your gift message successfully saved","A sua mensagem de presente foi correctamente guardada"
