"%s is not correct comparsion method.","%s não é o método de comparação correcto"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Por favor note </strong>  que estas opções são aplicáveis ao item do carrinho de compras e não a todo o carrinho"
"Allow Qty Below 0","Permitir Qts. abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir Qts. abaixo de 0 e Notificar Cliente"
"Backorders","Encomendas em produção"
"By Fixed value","Por valor fixo"
"By Percentage","Por percentagem"
"Can not specify product identifier for order item","Não foi possível especificar o identificador do produto para o item da encomenda"
"Catalog Inventory","Disponibilidade do Catálogo"
"Decrease Stock When Order is Placed","Diminuir o inventário quando é realizada uma encomenda"
"In Stock","Em inventário"
"Inventory","Inventário"
"Inventory API","API Inventário"
"Inventory Section","Secção de Inventário"
"Manage Stock","Gerir Stock"
"Maximum Qty Allowed in Shopping Cart","Qt. Máxima Permitida no Carrinho de Compras"
"Minimum Qty Allowed in Shopping Cart","Qt. Mínima Permitida no Carrinho de Compras"
"No Backorders","Não activar"
"Notify for Quantity Below","Notificar para quantidade abaixo"
"Out of Stock","Esgotado"
"Product Stock Options","Opções de Stock de Produtos"
"Qty for Items' Status to become Out of Stock","Quantidade para o Estado ficar Não Disponível"
"Retrieve stock data","Obter informação de disponibilidade"
"Retrieve stock data by product ids","Obter informação de disponibilidade através do id dos produtos"
"Rule price","Regra de preço"
"Set Items' Status to be In Stock When Order is Cancelled","Definir Estado dos Itens como disponíveis quando uma Encomenda é Cancelada"
"Some of the products are currently out of stock","Alguns dos produtos estão de momento indisponíveis"
"Some of the products can not be ordered in requested quantity","Alguns dos produtos não podem ser encomendados nas quantidades pretendidas"
"Some of the products cannot be ordered in the requested quantity","Alguns dos produtos não podem ser encomendados nas quantidades pretendidas"
"Stock Options","Opções de inventário"
"Stock item for Product in option is not valid","A disponibilidade para a opção do produto não é válida"
"Stock item for Product is not valid","A disponibilidade para o produto não é válida"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida para compra é %s."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida para compra é %s."
"The requested quantity for ""%s"" is not available.","A quantidade pedida para ""%s"" não está disponível"
"The requested quantity is not available.","O quantidade pedida não está disponível"
"This product is currently out of stock.","Este produto não se encontra disponível de momento"
"To Fixed Value","Para valor fixo"
"To Percentage","Para percentagem"
"Update","Actualizar"
"Update product stock data","Actualizar informação de disponibilidade de produtos"
"Update the Product","Actualizar o produto"
